Designator,Mid X,Mid Y,Rotation,Layer
BT1,151.5,-124.0,0.0,top
C1,113.5,-100.0,90.0,top
C2,174.0973,-88.5,0.0,top
D1,128.23,-102.0,0.0,top
D2,165.73,-100.0,180.0,top
Q1,123.865,-87.27,90.0,top
Q2,139.77,-72.365,0.0,top
Q3,132.0,-62.865,0.0,top
Q4,139.27,-62.865,0.0,top
Q5,109.865,-122.27,90.0,top
Q6,102.0,-80.965,0.0,top
R1,142.31,-83.5,0.0,top
R2,151.69,-88.5,180.0,top
R3,132.5,-91.5,0.0,top
R4,119.0,-92.5,180.0,top
R5,123.09,-54.98,0.0,top
R6,123.09,-59.03,0.0,top
R7,123.09,-63.08,0.0,top
R8,123.09,-67.13,0.0,top
SW1,122.25,-120.25,0.0,top
SW2,122.25,-130.75,0.0,top
SW3,133.25,-131.25,0.0,top
